language,stars,forks,currentPeriodStars,name,author,avatar,fullname,url,languageColor,description,builtBy,owner,repo_name
Python,60122,6754,518,hackingtool,Z4nzu,https://github.com/Z4nzu.png,Z4nzu/hackingtool,https://github.com/Z4nzu/hackingtool,#3572A5,"
      ALL IN ONE Hacking Tool For Hackers
    ","[{'href': '/cclauss', 'username': 'cclauss', 'avatar': 'https://avatars.githubusercontent.com/u/3709715'}, {'href': '/Greatest125', 'username': 'Greatest125', 'avatar': 'https://avatars.githubusercontent.com/u/66028078'}, {'href': '/mokrunka', 'username': 'mokrunka', 'avatar': 'https://avatars.githubusercontent.com/u/59213927'}, {'href': '/W1LDN16H7', 'username': 'W1LDN16H7', 'avatar': 'https://avatars.githubusercontent.com/u/58102926'}]",Z4nzu,hackingtool
Python,134580,22242,155,langchain,langchain-ai,https://github.com/langchain-ai.png,langchain-ai/langchain,https://github.com/langchain-ai/langchain,#3572A5,"
      The agent engineering platform
    ","[{'href': '/baskaryan', 'username': 'baskaryan', 'avatar': 'https://avatars.githubusercontent.com/u/22008038'}, {'href': '/hwchase17', 'username': 'hwchase17', 'avatar': 'https://avatars.githubusercontent.com/u/11986836'}, {'href': '/ccurme', 'username': 'ccurme', 'avatar': 'https://avatars.githubusercontent.com/u/26529506'}, {'href': '/eyurtsev', 'username': 'eyurtsev', 'avatar': 'https://avatars.githubusercontent.com/u/3205522'}, {'href': '/mdrxy', 'username': 'mdrxy', 'avatar': 'https://avatars.githubusercontent.com/u/61371264'}]",langchain-ai,langchain
Python,48833,7288,47,llama_index,run-llama,https://github.com/run-llama.png,run-llama/llama_index,https://github.com/run-llama/llama_index,#3572A5,"
      LlamaIndex is the leading document agent and OCR platform
    ","[{'href': '/logan-markewich', 'username': 'logan-markewich', 'avatar': 'https://avatars.githubusercontent.com/u/22285038'}, {'href': '/jerryjliu', 'username': 'jerryjliu', 'avatar': 'https://avatars.githubusercontent.com/u/4858925'}, {'href': '/apps/dependabot', 'username': 'apps/dependabot', 'avatar': 'https://avatars.githubusercontent.com/in/29110'}, {'href': '/Disiok', 'username': 'Disiok', 'avatar': 'https://avatars.githubusercontent.com/u/5567282'}, {'href': '/nerdai', 'username': 'nerdai', 'avatar': 'https://avatars.githubusercontent.com/u/92402603'}]",run-llama,llama_index
Python,4707,580,6,baserow,baserow,https://github.com/baserow.png,baserow/baserow,https://github.com/baserow/baserow,#3572A5,"
      Build databases, automations, apps & agents with AI — no code. Open source platform available on cloud and self-hosted. GDPR, HIPAA, SOC 2 compliant. Best Airtable alternative.
    ","[{'href': '/bram2w', 'username': 'bram2w', 'avatar': 'https://avatars.githubusercontent.com/u/1261496'}, {'href': '/jrmi', 'username': 'jrmi', 'avatar': 'https://avatars.githubusercontent.com/u/571533'}, {'href': '/stribny', 'username': 'stribny', 'avatar': 'https://avatars.githubusercontent.com/u/313952'}, {'href': '/cezary-baserow', 'username': 'cezary-baserow', 'avatar': 'https://avatars.githubusercontent.com/u/238164479'}, {'href': '/silvestrid', 'username': 'silvestrid', 'avatar': 'https://avatars.githubusercontent.com/u/75379892'}]",baserow,baserow
Python,66360,6625,84,OpenBB,OpenBB-finance,https://github.com/OpenBB-finance.png,OpenBB-finance/OpenBB,https://github.com/OpenBB-finance/OpenBB,#3572A5,"
      Financial data platform for analysts, quants and AI agents.
    ","[{'href': '/sponsors/OpenBB-finance', 'username': 'sponsors/OpenBB-finance', 'avatar': ''}, {'href': '/jmaslek', 'username': 'jmaslek', 'avatar': 'https://avatars.githubusercontent.com/u/18151143'}, {'href': '/deeleeramone', 'username': 'deeleeramone', 'avatar': 'https://avatars.githubusercontent.com/u/85772166'}, {'href': '/colin99d', 'username': 'colin99d', 'avatar': 'https://avatars.githubusercontent.com/u/72827203'}, {'href': '/DidierRLopes', 'username': 'DidierRLopes', 'avatar': 'https://avatars.githubusercontent.com/u/25267873'}, {'href': '/montezdesousa', 'username': 'montezdesousa', 'avatar': 'https://avatars.githubusercontent.com/u/79287829'}]",OpenBB-finance,OpenBB
Python,15819,1651,21,FunASR,modelscope,https://github.com/modelscope.png,modelscope/FunASR,https://github.com/modelscope/FunASR,#3572A5,"
      A Fundamental End-to-End Speech Recognition Toolkit and Open Source SOTA Pretrained Models, Supporting Speech Recognition, Voice Activity Detection, Text Post-processing etc.
    ","[{'href': '/LauraGPT', 'username': 'LauraGPT', 'avatar': 'https://avatars.githubusercontent.com/u/18321252'}, {'href': '/lyblsgo', 'username': 'lyblsgo', 'avatar': 'https://avatars.githubusercontent.com/u/9068933'}, {'href': '/jmwang66', 'username': 'jmwang66', 'avatar': 'https://avatars.githubusercontent.com/u/44365744'}, {'href': '/hnluo', 'username': 'hnluo', 'avatar': 'https://avatars.githubusercontent.com/u/42902471'}, {'href': '/R1ckShi', 'username': 'R1ckShi', 'avatar': 'https://avatars.githubusercontent.com/u/40013335'}]",modelscope,FunASR
Python,20386,3169,3,mypy,python,https://github.com/python.png,python/mypy,https://github.com/python/mypy,#3572A5,"
      Optional static typing for Python
    ","[{'href': '/sponsors/python', 'username': 'sponsors/python', 'avatar': ''}, {'href': '/JukkaL', 'username': 'JukkaL', 'avatar': 'https://avatars.githubusercontent.com/u/1107911'}, {'href': '/ilevkivskyi', 'username': 'ilevkivskyi', 'avatar': 'https://avatars.githubusercontent.com/u/12005495'}, {'href': '/msullivan', 'username': 'msullivan', 'avatar': 'https://avatars.githubusercontent.com/u/340349'}, {'href': '/hauntsaninja', 'username': 'hauntsaninja', 'avatar': 'https://avatars.githubusercontent.com/u/12621235'}, {'href': '/gvanrossum', 'username': 'gvanrossum', 'avatar': 'https://avatars.githubusercontent.com/u/2894642'}]",python,mypy
Python,7781,2235,7,hrms,frappe,https://github.com/frappe.png,frappe/hrms,https://github.com/frappe/hrms,#3572A5,"
      Open Source HR and Payroll Software
    ","[{'href': '/ruchamahabal', 'username': 'ruchamahabal', 'avatar': 'https://avatars.githubusercontent.com/u/24353136'}, {'href': '/asmitahase', 'username': 'asmitahase', 'avatar': 'https://avatars.githubusercontent.com/u/44727809'}, {'href': '/nabinhait', 'username': 'nabinhait', 'avatar': 'https://avatars.githubusercontent.com/u/836784'}, {'href': '/krantheman', 'username': 'krantheman', 'avatar': 'https://avatars.githubusercontent.com/u/61287991'}]",frappe,hrms
Python,28304,1706,10,reflex,reflex-dev,https://github.com/reflex-dev.png,reflex-dev/reflex,https://github.com/reflex-dev/reflex,#3572A5,"
      🕸️ Web apps in pure Python 🐍
    ","[{'href': '/masenf', 'username': 'masenf', 'avatar': 'https://avatars.githubusercontent.com/u/1524005'}, {'href': '/adhami3310', 'username': 'adhami3310', 'avatar': 'https://avatars.githubusercontent.com/u/27952765'}, {'href': '/Lendemor', 'username': 'Lendemor', 'avatar': 'https://avatars.githubusercontent.com/u/4015177'}, {'href': '/picklelo', 'username': 'picklelo', 'avatar': 'https://avatars.githubusercontent.com/u/6270214'}, {'href': '/ElijahAhianyo', 'username': 'ElijahAhianyo', 'avatar': 'https://avatars.githubusercontent.com/u/19895635'}]",reflex-dev,reflex
Python,28501,5992,12,insightface,deepinsight,https://github.com/deepinsight.png,deepinsight/insightface,https://github.com/deepinsight/insightface,#3572A5,"
      State-of-the-art 2D and 3D Face Analysis Project
    ","[{'href': '/nttstar', 'username': 'nttstar', 'avatar': 'https://avatars.githubusercontent.com/u/97733'}, {'href': '/anxiangsir', 'username': 'anxiangsir', 'avatar': 'https://avatars.githubusercontent.com/u/31175974'}, {'href': '/jiankangdeng', 'username': 'jiankangdeng', 'avatar': 'https://avatars.githubusercontent.com/u/8391417'}, {'href': '/GuoxiaWang', 'username': 'GuoxiaWang', 'avatar': 'https://avatars.githubusercontent.com/u/16953187'}, {'href': '/WenmuZhou', 'username': 'WenmuZhou', 'avatar': 'https://avatars.githubusercontent.com/u/12406017'}]",deepinsight,insightface
