language,stars,forks,currentPeriodStars,name,author,avatar,fullname,url,languageColor,description,builtBy
Python,39792,2574,1689,paperless-ngx,paperless-ngx,https://github.com/paperless-ngx.png,paperless-ngx/paperless-ngx,https://github.com/paperless-ngx/paperless-ngx,#3572A5,"
      A community-supported supercharged document management system: scan, index and archive all your documents
    ","[{'href': '/shamoon', 'username': 'shamoon', 'avatar': 'https://avatars.githubusercontent.com/u/4887959'}, {'href': '/stumpylog', 'username': 'stumpylog', 'avatar': 'https://avatars.githubusercontent.com/u/797416'}, {'href': '/danielquinn', 'username': 'danielquinn', 'avatar': 'https://avatars.githubusercontent.com/u/218205'}, {'href': '/paperlessngx-bot', 'username': 'paperlessngx-bot', 'avatar': 'https://avatars.githubusercontent.com/u/99855517'}, {'href': '/jonaswinkler', 'username': 'jonaswinkler', 'avatar': 'https://avatars.githubusercontent.com/u/17569239'}]"
Python,158198,13071,1194,yt-dlp,yt-dlp,https://github.com/yt-dlp.png,yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,#3572A5,"
      A feature-rich command-line audio/video downloader
    ","[{'href': '/dstftw', 'username': 'dstftw', 'avatar': 'https://avatars.githubusercontent.com/u/1908898'}, {'href': '/phihag', 'username': 'phihag', 'avatar': 'https://avatars.githubusercontent.com/u/779568'}, {'href': '/pukkandan', 'username': 'pukkandan', 'avatar': 'https://avatars.githubusercontent.com/u/6623388'}, {'href': '/remitamine', 'username': 'remitamine', 'avatar': 'https://avatars.githubusercontent.com/u/10879694'}, {'href': '/jaimeMF', 'username': 'jaimeMF', 'avatar': 'https://avatars.githubusercontent.com/u/1239727'}]"
Python,293887,27742,1524,awesome-python,vinta,https://github.com/vinta.png,vinta/awesome-python,https://github.com/vinta/awesome-python,#3572A5,"
      An opinionated list of Python frameworks, libraries, tools, and resources
    ","[{'href': '/claude', 'username': 'claude', 'avatar': 'https://avatars.githubusercontent.com/u/81847'}, {'href': '/traviscibot', 'username': 'traviscibot', 'avatar': 'https://avatars.githubusercontent.com/u/33116358'}, {'href': '/JinyangWang27', 'username': 'JinyangWang27', 'avatar': 'https://avatars.githubusercontent.com/u/42408214'}, {'href': '/dhamaniasad', 'username': 'dhamaniasad', 'avatar': 'https://avatars.githubusercontent.com/u/4560482'}]"
Python,8172,537,24,litestar,litestar-org,https://github.com/litestar-org.png,litestar-org/litestar,https://github.com/litestar-org/litestar,#3572A5,"
      Light, flexible and extensible ASGI framework | Built to scale
    ","[{'href': '/sponsors/litestar-org', 'username': 'sponsors/litestar-org', 'avatar': ''}, {'href': '/provinzkraut', 'username': 'provinzkraut', 'avatar': 'https://avatars.githubusercontent.com/u/25355197'}, {'href': '/Goldziher', 'username': 'Goldziher', 'avatar': 'https://avatars.githubusercontent.com/u/30733348'}, {'href': '/peterschutt', 'username': 'peterschutt', 'avatar': 'https://avatars.githubusercontent.com/u/20659309'}, {'href': '/JacobCoffee', 'username': 'JacobCoffee', 'avatar': 'https://avatars.githubusercontent.com/u/45884264'}, {'href': '/cofin', 'username': 'cofin', 'avatar': 'https://avatars.githubusercontent.com/u/204685'}]"
Python,343748,55515,924,system-design-primer,donnemartin,https://github.com/donnemartin.png,donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,#3572A5,"
      Learn how to design large-scale systems. Prep for the system design interview. Includes Anki flashcards.
    ","[{'href': '/cclauss', 'username': 'cclauss', 'avatar': 'https://avatars.githubusercontent.com/u/3709715'}, {'href': '/satob', 'username': 'satob', 'avatar': 'https://avatars.githubusercontent.com/u/171818'}, {'href': '/fluency03', 'username': 'fluency03', 'avatar': 'https://avatars.githubusercontent.com/u/7440735'}, {'href': '/luisbg', 'username': 'luisbg', 'avatar': 'https://avatars.githubusercontent.com/u/303663'}]"
Python,5756,1150,73,OctoBot,Drakkar-Software,https://github.com/Drakkar-Software.png,Drakkar-Software/OctoBot,https://github.com/Drakkar-Software/OctoBot,#3572A5,"
      Free open source crypto trading bot to automate AI, Grid, DCA and TradingView strategies on Binance, Hyperliquid and 15+ exchanges, with a simple interface.
    ","[{'href': '/sponsors/Drakkar-Software', 'username': 'sponsors/Drakkar-Software', 'avatar': ''}, {'href': '/GuillaumeDSM', 'username': 'GuillaumeDSM', 'avatar': 'https://avatars.githubusercontent.com/u/9078616'}, {'href': '/Herklos', 'username': 'Herklos', 'avatar': 'https://avatars.githubusercontent.com/u/10454670'}, {'href': '/valouvaliavlo', 'username': 'valouvaliavlo', 'avatar': 'https://avatars.githubusercontent.com/u/28919459'}, {'href': '/renovate-bot', 'username': 'renovate-bot', 'avatar': 'https://avatars.githubusercontent.com/u/25180681'}, {'href': '/techfreaque', 'username': 'techfreaque', 'avatar': 'https://avatars.githubusercontent.com/u/32987678'}]"
Python,3131,712,27,NostalgiaForInfinity,iterativv,https://github.com/iterativv.png,iterativv/NostalgiaForInfinity,https://github.com/iterativv/NostalgiaForInfinity,#3572A5,"
      Trading strategy for the Freqtrade crypto bot
    ","[{'href': '/tolgakaratas', 'username': 'tolgakaratas', 'avatar': 'https://avatars.githubusercontent.com/u/6440721'}, {'href': '/eSeR1805', 'username': 'eSeR1805', 'avatar': 'https://avatars.githubusercontent.com/u/61332999'}, {'href': '/Mandark-droid', 'username': 'Mandark-droid', 'avatar': 'https://avatars.githubusercontent.com/u/89932595'}]"
Python,98230,12076,434,whisper,openai,https://github.com/openai.png,openai/whisper,https://github.com/openai/whisper,#3572A5,"
      Robust Speech Recognition via Large-Scale Weak Supervision
    ","[{'href': '/jongwook', 'username': 'jongwook', 'avatar': 'https://avatars.githubusercontent.com/u/266841'}, {'href': '/cclauss', 'username': 'cclauss', 'avatar': 'https://avatars.githubusercontent.com/u/3709715'}, {'href': '/ryanheise', 'username': 'ryanheise', 'avatar': 'https://avatars.githubusercontent.com/u/19899190'}, {'href': '/petterreinholdtsen', 'username': 'petterreinholdtsen', 'avatar': 'https://avatars.githubusercontent.com/u/731031'}, {'href': '/HennerM', 'username': 'HennerM', 'avatar': 'https://avatars.githubusercontent.com/u/1714412'}]"
Python,27567,2558,91,pydantic,pydantic,https://github.com/pydantic.png,pydantic/pydantic,https://github.com/pydantic/pydantic,#3572A5,"
      Data validation using Python type hints
    ","[{'href': '/sponsors/pydantic', 'username': 'sponsors/pydantic', 'avatar': ''}, {'href': '/samuelcolvin', 'username': 'samuelcolvin', 'avatar': 'https://avatars.githubusercontent.com/u/4039449'}, {'href': '/Viicos', 'username': 'Viicos', 'avatar': 'https://avatars.githubusercontent.com/u/65306057'}, {'href': '/sydney-runkle', 'username': 'sydney-runkle', 'avatar': 'https://avatars.githubusercontent.com/u/54324534'}, {'href': '/dmontagu', 'username': 'dmontagu', 'avatar': 'https://avatars.githubusercontent.com/u/35119617'}, {'href': '/apps/dependabot', 'username': 'apps/dependabot', 'avatar': 'https://avatars.githubusercontent.com/in/29110'}]"
Python,59966,6737,1471,hackingtool,Z4nzu,https://github.com/Z4nzu.png,Z4nzu/hackingtool,https://github.com/Z4nzu/hackingtool,#3572A5,"
      ALL IN ONE Hacking Tool For Hackers
    ","[{'href': '/cclauss', 'username': 'cclauss', 'avatar': 'https://avatars.githubusercontent.com/u/3709715'}, {'href': '/Greatest125', 'username': 'Greatest125', 'avatar': 'https://avatars.githubusercontent.com/u/66028078'}, {'href': '/mokrunka', 'username': 'mokrunka', 'avatar': 'https://avatars.githubusercontent.com/u/59213927'}, {'href': '/W1LDN16H7', 'username': 'W1LDN16H7', 'avatar': 'https://avatars.githubusercontent.com/u/58102926'}]"
