category,id,title,by,score,time,url
Ask HN,47857461,Tell HN: I'm sick of AI everything,jonthepirate,329,1776820770,https://news.ycombinator.com/item?id=47857461
Ask HN,47822940,Ask HN: How did you land your first projects as a solo engineer/consultant?,modelcroissant,300,1776590232,https://news.ycombinator.com/item?id=47822940
Ask HN,47834213,Ask HN: How to solve the cold start problem for a two-sided marketplace?,alegd,144,1776692557,https://news.ycombinator.com/item?id=47834213
Ask HN,47824738,Recommended GPU Repairshop in Europe (Germany),DogRunner,38,1776610238,https://news.ycombinator.com/item?id=47824738
Ask HN,47845050,Ask HN: What skills are future proof in an AI driven job market?,sunny678,31,1776750584,https://news.ycombinator.com/item?id=47845050
Ask HN,47853021,Anthropic bans orgs without warning,alpinisme,31,1776798151,https://news.ycombinator.com/item?id=47853021
Ask HN,47868229,"Hey, it's Earth Day today",burnt-resistor,18,1776886551,https://news.ycombinator.com/item?id=47868229
Ask HN,47872660,Tell HN: YouTube RSS feeds no longer work,019,16,1776924102,https://news.ycombinator.com/item?id=47872660
Ask HN,47854549,Tell HN: My open-source project hit 5k registered users,darkhorse13,14,1776805833,https://news.ycombinator.com/item?id=47854549
Ask HN,47825673,Opus 4.7 vs. 4.6 after 3 days of real coding side by side from my actual session,agentseal,14,1776617707,https://news.ycombinator.com/item?id=47825673
Ask HN,47813874,Why don't we just ask AI to write assembler?,canterburry,14,1776496964,https://news.ycombinator.com/item?id=47813874
Ask HN,47858903,GPT 5.5 Released in Codex,zuzululu,13,1776831142,https://news.ycombinator.com/item?id=47858903
Ask HN,47836356,Ask HN: Is GitHub's #1 repo fake? build-your-own-x 491K stars,throwawaysoso,11,1776701572,https://news.ycombinator.com/item?id=47836356
Ask HN,47858591,Ask HN: What Would Make Stack Overflow Great Again?,nnurmanov,10,1776828743,https://news.ycombinator.com/item?id=47858591
Ask HN,47825001,Ask HN: What makes a good Product Manager,chairhairair,10,1776612445,https://news.ycombinator.com/item?id=47825001
Ask HN,47859207,OpenClaw stats don't add up,iliaov,9,1776833879,https://news.ycombinator.com/item?id=47859207
Ask HN,47822787,"Ask HN: May be a basic question, but how can I use AI well?",jdw64,9,1776588157,https://news.ycombinator.com/item?id=47822787
Ask HN,47842292,"Getting back into photography, ditching the phone camera in 2026?",eigenhombre,7,1776726635,https://news.ycombinator.com/item?id=47842292
Ask HN,47834270,"Warning: If you search ""Claude Desktop"" on Google, the 2nd ad result is a scam",diogenescynic,7,1776692829,https://news.ycombinator.com/item?id=47834270
Ask HN,47867083,Need advice: Back end engineer → infrastructure: how do you make the transition?,gokuljs,6,1776881041,https://news.ycombinator.com/item?id=47867083
Ask HN,47852834,Ask Anthropic: Requesting clarity on Claude -p situation,andai,5,1776797397,https://news.ycombinator.com/item?id=47852834
Ask HN,47873423,Ask HN: Would you take a job programming VMS?,smackeyacky,4,1776932883,https://news.ycombinator.com/item?id=47873423
Ask HN,47847257,My file access workaround for cron in Tahoe,noduerme,4,1776770344,https://news.ycombinator.com/item?id=47847257
Ask HN,47862274,Ask HN: Are cloud coding agents useful in real workflows yet?,Rperry2174,3,1776858781,https://news.ycombinator.com/item?id=47862274
Ask HN,47868481,Ask HN: How are you handling data retention across your stack?,preston-kwei,2,1776887917,https://news.ycombinator.com/item?id=47868481
Ask HN,47856082,Ask HN: Are there any engineering orgs that use incentives?,jppope,2,1776813286,https://news.ycombinator.com/item?id=47856082
Show HN,47812341,Show HN: I made a calculator that works over disjoint sets of intervals,fouronnes3,313,1776474943,https://victorpoughon.github.io/interval-calculator/
Show HN,47847558,"Show HN: VidStudio, a browser based video editor that doesn't upload your files",kolx,296,1776772696,https://vidstudio.app/video-editor
Show HN,47828896,Show HN: Run TRELLIS.2 Image-to-3D generation natively on Apple Silicon,shivampkumar,202,1776643636,https://github.com/shivampkumar/trellis-mac
Show HN,47849097,Show HN: GoModel – an open-source AI gateway in Go,santiago-pl,199,1776780713,https://github.com/ENTERPILOT/GOModel/
Show HN,47823460,Show HN: Prompt-to-Excalidraw demo with Gemma 4 E2B in the browser (3.1GB),teamchong,160,1776597447,https://teamchong.github.io/turboquant-wasm/draw.html
Show HN,47835411,Show HN: Mediator.ai – Using Nash bargaining and LLMs to systematize fairness,sanity,157,1776697624,https://mediator.ai/
Show HN,47816629,"Show HN: MDV – a Markdown superset for docs, dashboards, and slides with data",drasim,151,1776525879,https://github.com/drasimwagan/mdv
Show HN,47826104,Show HN: Faceoff – A terminal UI for following NHL games,vcf,134,1776620684,https://www.vincentgregoire.com/faceoff/
Show HN,47835599,Show HN: Alien – Self-hosting with remote management (written in Rust),alongub,106,1776698337,https://news.ycombinator.com/item?id=47835599
Show HN,47836740,Show HN: Ctx – a /resume that works across Claude Code and Codex,dchu17,72,1776702905,https://github.com/dchu917/ctx
Show HN,47850907,Show HN: Daemons – we pivoted from building agents to cleaning up after them,rileyt,65,1776788201,https://charlielabs.ai/
Show HN,47865642,"Show HN: Broccoli, one shot coding agent on the cloud",yzhong94,63,1776874196,https://github.com/besimple-oss/broccoli
Show HN,47828968,Show HN: A lightweight way to make agents talk without paying for API usage,juanpabloaj,57,1776644484,https://juanpabloaj.com/2026/04/16/a-lightweight-way-to-make-agents-talk-without-paying-for-api-usage/
Show HN,47840851,"Show HN: Holos – QEMU/KVM with a compose-style YAML, GPUs and health checks",zeroecco,55,1776719629,https://github.com/zeroecco/holos
Show HN,47812964,Show HN: Sfsym – Export Apple SF Symbols as Vector SVG/PDF/PNG,olliewagner,29,1776483894,https://github.com/yapstudios/sfsym
Show HN,47822301,Show HN: Backlit Keyboard API for Python,itsmeadarsh,27,1776581520,https://github.com/itsmeadarsh2008/backlit-kbd
Show HN,47868032,Show HN: Ghost Pepper Meet local meeting transcription and diarization,MattHart88,25,1776885598,https://matthartman.github.io/ghost-pepper/
Show HN,47845865,Show HN: WeTransfer Alternative for Developers,mariusbolik,24,1776758310,https://dlvr.sh/
Show HN,47827621,Show HN: Newsmaps.io a map of how news topics are covered by different countries,mkoh,19,1776632525,https://www.newsmaps.io/
Show HN,47838708,Show HN: Git Push No-Mistakes,akane8,17,1776710421,https://github.com/kunchenguid/no-mistakes
Show HN,47833747,Show HN: CyberWriter – a .md editor built on Apple's (barely-used) on-device AI,uncSoft,15,1776690424,https://cyberwriter.app
Show HN,47815391,Show HN: Pvm – A TUI to browse and run commands across multiple Python venvs,swq115,14,1776515306,https://github.com/Higangssh/pvm
Show HN,47855284,"Show HN: Almanac MCP, turn Claude Code into a Deep Research agent",rohans0509,13,1776809561,https://www.openalmanac.org/
Show HN,47820134,Show HN: Sostactic – polynomial inequalities using sums-of-squares in Lean,mmaaz,13,1776551793,https://github.com/mmaaz-git/sostactic
Show HN,47866218,Show HN: Netlify for Agents,bobfunk,12,1776877070,https://netlify.ai
